fffff=  ,Day of the Week,Amount,Description,Category ,Method of Payment,Need/Want/Saving
01/26/24,Friday,12.50,Medicine,Food,Debit,Need
01/26/24,Friday,11.30,Burger,Food,Debit,Want
01/27/24,Saturday,15.91,Uber (missed bus),Travel,Debit,Need
01/28/24,Sunday,16.43,Bobas,Food,Debit,Want
01/28/24,Sunday,11.45,Coworker Lunch,Food,Debit,Want
01/28/24,Sunday,12.77,Makeup/Snack,Food,Debit,Need
01/29/24,Monday,1.90,Print Notes,Entertainment and Recreation,Debit,Need
01/29/24,Monday,2.00,Print Notes,Entertainment and Recreation,Debit,Need
01/29/24,Monday,14.39,Panda Express,Food,Debit,Want
01/29/24,Monday,9.98,Uber,Travel,Debit,Need
01/29/24,Monday,33.11,Sally Beauty,Entertainment and Recreation,Debit,Want
01/29/24,Monday,10.90,Uber,Travel,Debit,Need
01/29/24,Monday,45.80,Sally Beauty,Entertainment and Recreation,Debit,Need
01/30/24,Tuesday,5.65,Lunch,Food,Debit,Need
01/31/24,Wednesday,16.91,Uber (missed bus),Travel,Debit,Need
01/31/24,Wednesday,12.31,Panda Express,Food,Debit,Want
02/01/24,Thursday,9.18,Target,Entertainment and Recreation,Debit,Want
02/02/24,Friday,2.95,Gum,Food,Debit,Need
02/02/24,Friday,40.00,Superbowl,Entertainment and Recreation,Debit,Want
02/02/24,Friday,200,Savings,Financial goals and Savings,Debit,Savings
02/02/24,Friday,15.04,Sally Beauty,Entertainment and Recreation,Debit,Need
02/03/24,Saturday,15.97,Uber (missed bus),Travel,Debit,Need
02/04/23,Sunday,14.50,Bobas,Food,Debit,Want
02/04/23,Sunday,10.00,Zelle (to sister),Food,Debit,Want
